epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,3621.33,0.59299,0.70047,0.44762,0.8656,0.87298,0.85696,0.91115,0.71656,0.85603,0.83215,0.88464,0.52424,0.80545,1.0084,0.55083,0.9235,0.000625062,0.000625062,0.000625062
103,3656.08,0.61436,0.73467,0.4678,0.86687,0.87468,0.87181,0.91435,0.73086,0.84946,0.83861,0.884,0.53822,0.75938,0.93329,0.54834,0.89625,0.000618875,0.000618875,0.000618875
104,3691.15,0.58658,0.6917,0.44269,0.86322,0.89393,0.82371,0.89379,0.7261,0.87857,0.80992,0.87384,0.54389,0.75378,0.94707,0.57958,0.89698,0.000612687,0.000612687,0.000612687
105,3729.02,0.60084,0.70187,0.45127,0.86639,0.87399,0.86207,0.91511,0.73802,0.87121,0.83309,0.88236,0.54214,0.77376,0.92863,0.53027,0.89797,0.0006065,0.0006065,0.0006065
106,3763.54,0.58489,0.71828,0.4458,0.86313,0.90816,0.85213,0.90927,0.73292,0.88889,0.83224,0.88733,0.55021,0.77185,0.97287,0.51839,0.90118,0.000600313,0.000600313,0.000600313
107,3800.14,0.5883,0.71017,0.45943,0.86234,0.91174,0.8399,0.90486,0.72579,0.89772,0.81436,0.87727,0.5429,0.77918,0.9503,0.53961,0.90093,0.000594125,0.000594125,0.000594125
108,3834.86,0.59041,0.69397,0.44843,0.86433,0.86769,0.8486,0.8975,0.73109,0.85776,0.83836,0.88083,0.5423,0.75605,0.94173,0.53669,0.89376,0.000587938,0.000587938,0.000587938
109,3871.09,0.59527,0.71774,0.44595,0.86775,0.87317,0.83842,0.90667,0.73312,0.85364,0.81662,0.88209,0.54524,0.7475,0.97803,0.54772,0.8891,0.00058175,0.00058175,0.00058175
110,3905.88,0.59136,0.70135,0.45083,0.86361,0.89662,0.84803,0.90932,0.74225,0.87206,0.82132,0.87952,0.54977,0.7346,0.88006,0.53581,0.88771,0.000575563,0.000575563,0.000575563
111,3941.32,0.57135,0.70055,0.43995,0.85803,0.88021,0.85168,0.90548,0.72678,0.86498,0.83356,0.88386,0.53285,0.77091,0.94086,0.5492,0.90329,0.000569375,0.000569375,0.000569375
